timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-02-19T22:52:18.475,T1,20260219_225121,351,1.0,0.0,2.781,-88.0,-97.0,-8.9,107.84,56,8065,6039,9654,11597,2014,True,1,1.781,1.027846810679921,5.758192651439921,3615
2026-02-19T22:52:19.495,T1,20260219_225121,353,1.0,0.0,2.725,-88.5,-101.8,-13.3,66.5,20,540,1330,830,453,419,True,1,1.725,0.5,1.081145584725537,500
2026-02-19T22:52:19.976,T1,20260219_225121,354,1.0,0.0,2.453,-84.7,-99.3,-14.6,90.38,52,4716,4700,8186,14354,1992,True,1,1.4529999999999998,0.7319571628123545,7.205823293172691,3486
2026-02-19T22:52:20.395,T1,20260219_225121,355,1.0,0.0,2.983,-81.9,-97.7,-15.8,119.21,48,6133,5722,8339,15063,1850,True,1,1.983,0.8723419386956831,8.142162162162162,2617
2026-02-19T22:52:20.995,T1,20260219_225121,356,1.0,0.0,2.613,-84.7,-97.4,-12.7,113.64,56,7918,6364,8382,14513,2002,True,1,1.613,1.0739183507391834,7.249250749250749,2018
2026-02-19T22:52:22.015,T1,20260219_225121,358,1.0,0.0,2.594,-83.6,-98.7,-15.1,60.44,72,4603,4352,7439,11491,1715,True,1,1.594,0.7807649902467984,6.700291545189504,3087
2026-02-19T22:52:22.976,T1,20260219_225121,360,1.0,0.0,2.702,-85.1,-98.0,-13.0,172.12,52,4659,8950,6906,14117,2001,True,1,1.702,0.5876639757820383,7.054972513743128,2044
2026-02-19T22:52:25.015,T1,20260219_225121,364,1.0,0.0,2.96,-80.9,-97.6,-16.7,156.9,52,2925,8159,8393,16676,1885,True,1,1.96,0.3534316094731754,8.846684350132627,234
2026-02-19T22:52:25.495,T1,20260219_225121,365,1.0,0.0,2.537,-82.5,-98.9,-16.4,98.1,60,3706,5886,8088,15570,1922,True,1,1.537,0.5304136253041363,8.100936524453694,2202
2026-02-19T22:52:26.995,T1,20260219_225121,368,1.0,0.0,2.584,-83.4,-93.6,-10.2,139.23,64,16464,8911,8309,15945,2007,True,1,1.584,1.9121951219512194,7.944693572496263,602
2026-02-19T22:52:27.476,T1,20260219_225121,369,1.0,0.0,2.922,-80.3,-94.2,-13.9,175.5,48,13396,8424,6785,16003,1808,True,1,1.922,1.7615885331053982,8.851216814159292,1639
2026-02-19T22:52:28.014,T1,20260219_225121,370,1.0,0.0,2.584,-82.4,-95.7,-13.3,132.9,60,12450,7974,6574,17414,2029,True,1,1.584,1.7115754742919989,8.582552981764415,1400
2026-02-19T22:52:28.914,T1,20260219_225121,372,1.0,0.0,2.753,-79.1,-92.8,-13.7,252.11,44,9736,11093,9091,12765,1549,True,1,1.753,0.9647245342845818,8.240800516462233,2002
2026-02-19T22:52:29.516,T1,20260219_225121,373,1.0,0.0,2.955,-76.2,-91.4,-15.2,235.0,40,13720,9400,8182,13075,1417,True,1,1.955,1.560687066317825,9.227240649258999,1218
2026-02-19T22:52:29.995,T1,20260219_225121,374,1.0,0.0,2.88,-77.5,-91.7,-14.2,235.06,48,14960,11283,8396,15451,1609,True,1,1.88,1.5204024594745669,9.602858918582971,2887
2026-02-19T22:52:31.018,T1,20260219_225121,376,1.0,0.0,2.819,-77.3,-95.2,-17.9,167.9,48,8101,8059,4961,13033,1470,True,1,1.819,1.2443932411674348,8.865986394557822,3098
2026-02-19T22:52:31.497,T1,20260219_225121,377,1.0,0.0,3.143,-76.9,-93.1,-16.1,174.75,44,10009,7689,6959,10965,1332,True,1,2.143,1.3666029492080831,8.231981981981981,730
2026-02-19T22:52:32.934,T1,20260219_225121,380,1.0,0.0,2.8,-78.2,-93.8,-15.6,175.1,52,9018,9105,7435,12596,1491,True,1,1.7999999999999998,1.090447400241838,8.448021462105968,1670
2026-02-19T22:52:35.515,T1,20260219_225121,385,1.0,0.0,2.875,-60.1,-77.6,-17.5,590.96,28,15225,16547,11524,16343,908,True,1,1.875,1.0847493854868013,17.998898678414097,5023
2026-02-19T22:52:35.994,T1,20260219_225121,386,1.0,0.0,2.988,-60.5,-77.3,-16.8,381.8,44,16473,16799,11246,16511,926,True,1,1.988,1.174754858263505,17.830453563714904,5553
2026-02-19T22:52:36.954,T1,20260219_225121,388,1.0,0.0,2.922,-61.0,-72.8,-11.8,392.2,44,17171,17257,14819,14038,869,True,1,1.922,1.070644718792867,16.1542002301496,2438
2026-02-19T22:52:38.034,T1,20260219_225121,390,1.0,0.0,3.03,-63.5,-82.3,-18.7,454.25,36,12502,16353,10175,14662,969,True,1,2.03,0.9425512665862484,15.131062951496387,6178
2026-02-19T22:52:38.514,T1,20260219_225121,391,1.0,0.0,3.415,-67.5,-87.8,-20.2,367.4,40,1859,14696,14339,13112,1052,True,1,2.415,0.12805235061133116,12.463878326996198,357
2026-02-19T22:52:41.035,T1,20260219_225121,396,1.0,0.0,3.297,-68.7,-89.5,-20.8,308.52,44,15863,13575,8132,20667,1375,True,1,2.297,1.4615561800340904,15.030545454545454,5443
2026-02-19T22:52:41.516,T1,20260219_225121,397,1.0,0.0,2.978,-67.2,-88.4,-21.3,336.04,48,6520,16130,12248,16020,1148,True,1,1.978,0.45951088871661144,13.954703832752614,3882
2026-02-19T22:52:43.014,T1,20260219_225121,400,1.0,0.0,2.847,-70.0,-90.7,-20.7,390.86,36,4545,14071,9277,15034,1228,True,1,1.847,0.38932670892581805,12.242671009771987,4794
2026-02-19T22:52:43.554,T1,20260219_225121,401,1.0,0.0,3.002,-70.4,-89.6,-19.2,185.45,44,9345,8160,12751,11836,1105,True,1,2.002,0.8937879584907465,10.71131221719457,4591
2026-02-19T22:52:44.515,T1,20260219_225121,403,1.0,0.0,2.95,-71.0,-91.0,-20.1,291.35,48,5956,13985,8884,15362,1282,True,1,1.95,0.5208797936070664,11.982839313572542,5101
2026-02-19T22:52:44.995,T1,20260219_225121,404,1.0,0.0,2.988,-71.0,-91.1,-20.1,318.86,44,5889,14030,8820,15596,1292,True,1,1.988,0.5154485776805252,12.071207430340557,5210
2026-02-19T22:52:51.054,T1,20260219_225121,416,1.0,0.0,2.852,-73.9,-99.2,-25.3,95.03,40,3235,3801,4046,10920,1196,True,1,1.852,0.8245189244297184,9.130434782608695,245
2026-02-19T22:52:51.535,T1,20260219_225121,417,1.0,0.0,2.659,-75.8,-99.4,-23.7,129.98,44,2055,5719,3231,11711,1322,True,1,1.6589999999999998,0.4592178770949721,8.85854765506808,2488
2026-02-19T22:52:54.056,T1,20260219_225121,422,1.0,0.0,2.683,-63.5,-89.1,-25.6,352.11,36,6302,12676,10841,17071,1046,True,1,1.6829999999999998,0.5359527150571927,16.320267686424476,1835
