
sample,millis,distance_m,round_trip_ticks,reply_delay_ticks,tof_ticks,rx_power_dBm,fp_power_dBm,quality,temp_C,pressure_hPa
276,68691,158.0506,371155846,371088452,33697,-64.61,-101.68,42.88,25.40,1005.5
277,68760,158.0646,364765441,364698041,33700,-65.75,-101.28,27.30,25.40,1005.5
278,68829,158.1162,366463153,366395730,33711,-64.03,-98.46,11.83,25.40,1005.5
279,68898,158.0975,357865018,357797603,33707,-64.42,-100.03,18.30,25.40,1005.5
280,68966,158.0459,371562296,371494903,33696,-64.42,-101.83,38.62,25.40,1005.5
281,69035,158.0552,370526960,370459564,33698,-64.76,-100.28,27.77,25.40,1005.5
282,69104,158.0552,360751745,360684348,33698,-64.45,-100.38,26.29,25.40,1005.5
283,69173,158.1397,371589200,371521767,33716,-64.96,-100.89,31.11,25.40,1005.5
284,69242,158.0552,368246743,368179346,33698,-64.66,-101.50,41.83,25.40,1005.5
285,69311,158.0318,370447195,370379809,33693,-64.82,-102.06,43.93,25.40,1005.5
286,69380,158.0224,368462081,368394698,33691,-63.99,-101.52,37.35,25.40,1005.5
287,69449,158.0552,369333929,369266533,33698,-64.53,-101.51,21.82,25.40,1005.5
288,69518,158.1631,370328198,370260756,33721,-65.97,-98.56,14.60,25.40,1005.5
289,69588,158.1303,374050352,373982924,33714,-64.34,-100.11,16.79,25.40,1005.5
290,69656,158.1397,371262952,371195520,33716,-64.76,-99.44,11.75,25.40,1005.5
291,69725,158.0224,363603321,363535938,33691,-64.99,-102.51,27.41,25.40,1005.5
292,69794,158.0552,372471618,372404221,33698,-64.94,-102.56,32.89,25.40,1005.5
293,69863,158.1115,373419773,373352352,33710,-65.97,-100.09,17.82,25.40,1005.5
294,69932,158.0881,365353681,365286270,33705,-64.29,-102.69,40.15,25.40,1005.5
295,70001,158.0787,365479052,365411645,33703,-64.44,-101.88,37.53,25.40,1005.5
296,70070,158.2006,356685935,356618477,33729,-64.11,-98.07,13.68,25.40,1005.5
297,70139,158.0693,357414998,357347596,33701,-64.80,-97.96,10.64,25.40,1005.5
298,70208,158.1397,367981673,367914241,33716,-64.88,-97.86,12.85,25.40,1005.5
299,70277,158.0552,368784937,368717540,33698,-64.86,-102.79,31.08,25.40,1005.5
300,70363,158.1256,356889629,356822203,33713,-65.15,-99.23,13.00,25.38,1005.5
301,70431,158.1631,364176302,364108860,33721,-65.54,-100.04,6.73,25.38,1005.5
302,70500,158.1350,364174730,364107300,33715,-67.33,-102.85,20.36,25.38,1005.5
303,70569,157.7738,365530326,365463049,33638,-66.34,-107.26,21.63,25.38,1005.5
304,70638,157.5018,362967757,362900596,33580,-66.79,-103.21,26.15,25.38,1005.5
305,70706,158.2241,370141382,370073913,33734,-64.63,-98.08,20.38,25.38,1005.5
306,70775,158.1350,361804407,361736976,33715,-65.41,-98.88,42.36,25.38,1005.5
307,70844,157.3705,363638695,363571590,33552,-66.10,-106.07,22.24,25.38,1005.5
308,70913,158.1725,367384512,367317065,33723,-66.28,-107.58,23.15,25.38,1005.5
309,70982,158.1068,367171652,367104233,33709,-66.30,-100.76,17.34,25.38,1005.5
